RTENAME,StateNm,RouteID,U_S_R_I,id,ppt00_mean,ppt01_mean,ppt15_mean,ppt16_mean,tmean00_me,tmean01_me,tmean15_me,tmean16_me
LIBERTY,02,019,02_019,43,1017.651428571420000,1700.975714285710000,1540.661428571420000,1147.704285714280000,18.100000000000000,17.432857142857100,16.575714285714200,16.915714285714200
LIBERTY,02,019,02_019,44,1027.722857142850000,1671.768571428570000,1587.855714285710000,1095.240000000000000,17.859999999999900,17.274285714285700,16.328571428571400,16.658571428571400
LIBERTY,02,019,02_019,45,1044.029999999990000,1655.601666666660000,1620.915000000000000,1070.941666666660000,17.715000000000000,17.149999999999900,16.198333333333300,16.531666666666600
HOLT,02,060,02_060,46,1124.091666666660000,1572.615000000000000,1602.036666666660000,1276.388333333330000,18.316666666666600,17.838333333333300,16.906666666666600,17.164999999999900
HOLT,02,060,02_060,47,1197.888333333330000,1613.366666666660000,1627.678333333330000,1287.066666666660000,18.154999999999900,17.693333333333300,16.724999999999900,16.931666666666600
HOLT,02,060,02_060,48,1224.428333333330000,1617.105000000000000,1623.163333333330000,1269.093333333330000,18.234999999999900,17.785000000000000,16.826666666666600,16.998333333333300
HOLT,02,060,02_060,49,1104.450000000000000,1524.401666666660000,1577.371666666660000,1221.331666666660000,18.340000000000000,17.893333333333300,16.956666666666600,17.184999999999900
HOLT,02,060,02_060,50,1006.746666666660000,1433.303333333330000,1508.739999999990000,1179.795000000000000,18.574999999999900,18.128333333333300,17.230000000000000,17.518333333333300
SMYER LAKE,02,014,02_014,51,1019.221666666660000,1562.241666666660000,1646.810000000000000,1092.186666666660000,18.686666666666600,18.216666666666600,17.016666666666600,17.390000000000000
SMYER LAKE,02,014,02_014,52,1034.762857142850000,1564.718571428570000,1544.454285714280000,1034.442857142850000,18.724285714285700,18.230000000000000,17.001428571428500,17.381428571428500
SMYER LAKE,02,014,02_014,53,1084.194999999990000,1609.579999999990000,1549.899999999990000,978.731666666666000,18.658333333333300,18.113333333333300,16.831666666666600,17.188333333333300
SMYER LAKE,02,014,02_014,54,1135.957499999990000,1668.784999999990000,1551.839999999990000,1010.960000000000000,18.887499999999900,18.245000000000000,16.892500000000000,17.207500000000000
SMYER LAKE,02,014,02_014,55,1159.282857142850000,1691.260000000000000,1683.752857142850000,1027.374285714280000,19.128571428571400,18.340000000000000,16.934285714285700,17.232857142857100
JENA,02,047,02_047,56,1046.474000000000000,1531.577999999990000,1417.983999999990000,1230.953999999990000,18.710000000000000,18.177999999999900,17.309999999999900,17.664000000000000
JENA,02,047,02_047,57,1058.901666666660000,1537.215000000000000,1454.890000000000000,1216.541666666660000,18.668333333333300,18.135000000000000,17.283333333333300,17.653333333333300
JENA,02,047,02_047,58,1071.887142857140000,1547.112857142850000,1453.805714285710000,1171.950000000000000,18.639999999999900,18.090000000000000,17.260000000000000,17.624285714285700
JENA,02,047,02_047,59,1067.878000000000000,1558.083999999990000,1430.713999999990000,1175.710000000000000,18.520000000000000,17.951999999999900,17.122000000000000,17.457999999999900
JENA,02,047,02_047,60,1057.156000000000000,1582.478000000000000,1410.990000000000000,1174.281999999990000,18.345999999999900,17.746000000000000,16.916000000000000,17.225999999999900
BLOCTON,02,043,02_043,61,1122.795000000000000,1539.713333333330000,1450.551666666660000,1103.818333333330000,18.703333333333300,18.228333333333300,17.350000000000000,17.676666666666600
BLOCTON,02,043,02_043,62,1109.879999999990000,1553.998000000000000,1439.392000000000000,1090.849999999990000,18.756000000000000,18.258000000000000,17.401999999999900,17.748000000000000
BLOCTON,02,043,02_043,63,1068.161666666660000,1535.201666666660000,1373.348333333330000,1083.026666666660000,18.721666666666600,18.245000000000000,17.333333333333300,17.678333333333300
BLOCTON,02,043,02_043,64,1015.939999999990000,1505.115714285710000,1370.258571428570000,1102.177142857140000,18.697142857142800,18.241428571428500,17.260000000000000,17.602857142857100
BLOCTON,02,043,02_043,65,987.331428571428000,1500.241428571420000,1424.558571428570000,1154.421428571420000,18.678571428571400,18.215714285714200,17.225714285714200,17.562857142857100
LANETT,02,028,02_028,66,1071.084285714280000,1201.371428571420000,1505.417142857140000,920.811428571428000,18.377142857142800,18.241428571428500,16.970000000000000,16.884285714285700
LANETT,02,028,02_028,67,1045.702857142850000,1238.062857142850000,1492.325714285710000,932.965714285714000,18.228571428571400,18.118571428571400,16.730000000000000,16.642857142857100
LANETT,02,028,02_028,68,1049.741666666660000,1314.948333333330000,1512.633333333330000,995.301666666666000,18.023333333333300,17.941666666666600,16.529999999999900,16.396666666666600
LANETT,02,028,02_028,69,1043.794000000000000,1395.010000000000000,1605.977999999990000,1043.610000000000000,17.830000000000000,17.816000000000000,16.416000000000000,16.276000000000000
LANETT,02,028,02_028,70,1028.031666666660000,1437.101666666660000,1703.343333333330000,1070.380000000000000,17.715000000000000,17.751666666666600,16.350000000000000,16.188333333333300
EPES,02,048,02_048,71,1000.639999999990000,1564.740000000000000,1449.553999999990000,1093.422000000000000,18.740000000000000,18.180000000000000,17.396000000000000,17.824000000000000
EPES,02,048,02_048,72,980.693333333333000,1501.590000000000000,1418.298333333330000,1057.151666666660000,18.691666666666600,18.156666666666600,17.359999999999900,17.756666666666600
EPES,02,048,02_048,73,983.465000000000000,1486.096666666660000,1405.156666666660000,1059.354999999990000,18.681666666666600,18.149999999999900,17.356666666666600,17.739999999999900
EPES,02,048,02_048,74,999.478571428571000,1477.005714285710000,1420.321428571420000,1115.842857142850000,18.677142857142800,18.125714285714200,17.355714285714200,17.728571428571400
EPES,02,048,02_048,75,1036.234285714280000,1491.764285714280000,1469.031428571420000,1172.667142857140000,18.717142857142800,18.088571428571400,17.350000000000000,17.721428571428500
BILLINGSLEY,02,025,02_025,76,980.331999999999000,1483.263999999990000,1372.453999999990000,1226.687999999990000,18.855999999999900,18.342000000000000,17.318000000000000,17.616000000000000
BILLINGSLEY,02,025,02_025,77,1010.259999999990000,1533.484999999990000,1421.003333333330000,1257.416666666660000,18.603333333333300,18.136666666666600,17.125000000000000,17.441666666666600
BILLINGSLEY,02,025,02_025,78,1063.195000000000000,1599.650000000000000,1415.219999999990000,1274.023750000000000,18.433750000000000,18.011250000000000,16.954999999999900,17.268750000000000
BILLINGSLEY,02,025,02_025,79,1081.131428571420000,1627.167142857140000,1387.889999999990000,1274.747142857140000,18.444285714285700,18.017142857142800,17.000000000000000,17.318571428571400
BILLINGSLEY,02,025,02_025,80,1079.639999999990000,1634.295714285710000,1383.837142857140000,1324.597142857140000,18.642857142857100,18.165714285714200,17.364285714285700,17.684285714285700
WALLSBORO,02,026,02_026,81,936.316000000000000,1327.748000000000000,1541.704000000000000,1205.971999999990000,19.556000000000000,18.808000000000000,17.526000000000000,17.856000000000000
WALLSBORO,02,026,02_026,82,968.588333333333000,1315.096666666660000,1546.488333333330000,1287.855000000000000,19.359999999999900,18.785000000000000,17.469999999999900,17.803333333333300
WALLSBORO,02,026,02_026,83,970.554285714285000,1301.420000000000000,1530.190000000000000,1289.571428571420000,19.601428571428500,18.994285714285700,17.685714285714200,18.112857142857100
WALLSBORO,02,026,02_026,84,990.404000000000000,1312.401999999990000,1599.214000000000000,1255.549999999990000,19.564000000000000,18.997999999999900,17.667999999999900,18.094000000000000
WALLSBORO,02,026,02_026,85,991.365000000000000,1334.006666666660000,1661.278333333330000,1219.585000000000000,19.158333333333300,18.786666666666600,17.434999999999900,17.746666666666600
WARRIOR STD,02,027,02_027,86,1009.250000000000000,1272.974285714280000,1707.080000000000000,1114.271428571420000,18.935714285714200,18.635714285714200,17.318571428571400,17.432857142857100
WARRIOR STD,02,027,02_027,87,987.515999999999000,1276.989999999990000,1644.727999999990000,1111.486000000000000,19.009999999999900,18.729999999999900,17.368000000000000,17.472000000000000
WARRIOR STD,02,027,02_027,88,987.264999999999000,1282.396666666660000,1648.930000000000000,1096.301666666660000,19.023333333333300,18.730000000000000,17.359999999999900,17.453333333333300
WARRIOR STD,02,027,02_027,89,1004.287142857140000,1274.301428571420000,1677.898571428570000,1108.490000000000000,19.001428571428500,18.691428571428500,17.395714285714200,17.472857142857100
WARRIOR STD,02,027,02_027,90,1039.728571428570000,1261.858571428570000,1798.730000000000000,1124.537142857140000,18.807142857142800,18.497142857142800,17.311428571428500,17.365714285714200
HARRELL,02,022,02_022,91,947.614285714285000,1464.818571428570000,1305.257142857140000,1171.255714285710000,18.770000000000000,18.442857142857100,17.735714285714200,18.097142857142800
HARRELL,02,022,02_022,92,948.224285714285000,1440.835714285710000,1346.498571428570000,1286.211428571420000,18.781428571428500,18.424285714285700,17.904285714285700,18.279999999999900
HARRELL,02,022,02_022,93,939.664999999999000,1420.238333333330000,1372.628333333330000,1345.680000000000000,18.796666666666600,18.410000000000000,17.953333333333300,18.336666666666600
HARRELL,02,022,02_022,94,933.190000000000000,1399.024999999990000,1418.123333333330000,1369.700000000000000,18.841666666666600,18.400000000000000,18.103333333333300,18.486666666666600
HARRELL,02,022,02_022,95,938.598333333333000,1396.878333333330000,1459.454999999990000,1322.859999999990000,18.843333333333300,18.395000000000000,18.148333333333300,18.533333333333300
COTTONTON,02,029,02_029,96,968.060000000000000,1128.078333333330000,1636.956666666660000,992.603333333333000,19.030000000000000,18.696666666666600,17.468333333333300,17.579999999999900
COTTONTON,02,029,02_029,97,971.411666666666000,1140.813333333330000,1635.916666666660000,1061.748333333330000,19.000000000000000,18.641666666666600,17.455000000000000,17.579999999999900
COTTONTON,02,029,02_029,98,992.082857142857000,1162.730000000000000,1602.405714285710000,1114.405714285710000,19.020000000000000,18.672857142857100,17.451428571428500,17.561428571428500
COTTONTON,02,029,02_029,99,1014.972857142850000,1186.899999999990000,1569.422857142850000,1091.060000000000000,19.025714285714200,18.685714285714200,17.421428571428500,17.522857142857100
COTTONTON,02,029,02_029,100,1039.302000000000000,1217.183999999990000,1539.114000000000000,1057.504000000000000,18.990000000000000,18.661999999999900,17.396000000000000,17.468000000000000
SPRAGUE,02,024,02_024,101,1015.298571428570000,1348.964285714280000,1527.681428571420000,1209.291428571420000,19.161428571428500,18.861428571428500,17.445714285714200,17.821428571428500
SPRAGUE,02,024,02_024,102,990.463333333333000,1351.486666666660000,1579.168333333330000,1249.253333333330000,19.286666666666600,18.958333333333300,17.585000000000000,17.945000000000000
SPRAGUE,02,024,02_024,103,972.998333333333000,1338.785000000000000,1632.176666666660000,1184.678333333330000,19.515000000000000,19.103333333333300,17.743333333333300,18.125000000000000
SPRAGUE,02,024,02_024,104,957.361999999999000,1317.781999999990000,1638.954000000000000,1119.521999999990000,19.659999999999900,19.187999999999900,17.859999999999900,18.248000000000000
SPRAGUE,02,024,02_024,105,936.064285714285000,1286.508571428570000,1632.548571428570000,1137.732857142850000,19.831428571428500,19.309999999999900,17.932857142857100,18.330000000000000
ELAMVILLE,02,055,02_055,106,954.494000000000000,1305.720000000000000,1648.481999999990000,1239.700000000000000,19.757999999999900,19.518000000000000,18.359999999999900,18.646000000000000
ELAMVILLE,02,055,02_055,107,961.060000000000000,1276.526666666660000,1652.750000000000000,1235.250000000000000,19.820000000000000,19.581666666666600,18.395000000000000,18.651666666666600
ELAMVILLE,02,055,02_055,108,964.603333333333000,1257.443333333330000,1626.666666666660000,1241.726666666660000,19.821666666666600,19.591666666666600,18.385000000000000,18.633333333333300
ELAMVILLE,02,055,02_055,109,975.250000000000000,1219.708571428570000,1633.744285714280000,1236.771428571420000,19.724285714285700,19.482857142857100,18.182857142857100,18.410000000000000
