RTENAME,StateNm,RouteID,U_S_R_I,id,h01_0,h01_11,h01_12,h01_21,h01_22,h01_23,h01_24,h01_31,h01_41,h01_42,h01_43,h01_52,h01_71,h01_81,h01_82,h01_90,h01_95
ELKMONT,02,072,02_072,1,0,94,0,7090,947,199,33,4,27768,1774,2851,394,301,61356,11798,6226,111
ELKMONT,02,072,02_072,2,0,120,0,6702,482,68,2,0,29804,1528,2421,376,110,60951,14926,4764,119
ELKMONT,02,072,02_072,3,0,212,0,5831,448,88,12,59,42272,1610,2422,535,123,49246,12208,5487,208
ELKMONT,02,072,02_072,4,0,1588,0,4875,327,66,11,60,53090,2387,2818,563,240,36438,12343,5903,262
ELKMONT,02,072,02_072,5,0,1390,0,4270,495,144,38,215,56402,2405,3133,577,357,34509,12560,3739,188
ST FLORIAN,02,001,02_001,6,0,23032,0,2671,296,14,0,12,58718,6616,4535,6108,3594,13265,2252,2097,225
ST FLORIAN,02,001,02_001,7,0,3633,0,4769,549,40,3,2,32397,4632,3403,3907,1132,41332,26242,2515,189
ST FLORIAN,02,001,02_001,8,0,206,0,6346,1469,242,66,16,16669,1082,2380,1111,135,53719,32099,7349,340
ST FLORIAN,02,001,02_001,9,0,205,0,16192,12835,2823,728,111,23469,1347,3587,1140,265,39702,7972,7884,302
ST FLORIAN,02,001,02_001,10,0,2712,0,20238,16173,4456,1751,152,25918,2622,3985,926,374,35662,3461,3318,151
SWAIM,02,007,02_007,11,0,562,0,6145,3064,497,87,15,46148,1349,3365,249,219,38265,24053,2467,116
SWAIM,02,007,02_007,12,0,353,0,3936,2148,333,40,15,58389,632,2545,945,317,29321,23017,2181,322
SWAIM,02,007,02_007,13,0,323,0,2289,829,110,9,8,74220,1149,3540,1267,185,25538,17271,2578,404
SWAIM,02,007,02_007,14,0,116,0,2136,237,19,3,6,94975,1246,4851,635,245,17565,11850,2328,356
SWAIM,02,007,02_007,15,0,18,0,2511,176,11,1,0,94406,1066,5376,512,327,17218,7915,804,224
VINA,02,201,02_201,16,0,54,0,4083,1046,172,34,26,45672,28374,11261,10286,4688,14145,430,3677,169
VINA,02,201,02_201,17,0,128,0,4017,1197,197,36,85,43778,25317,10850,9607,4424,17262,6481,2082,332
VINA,02,201,02_201,18,0,142,0,3955,1396,193,5,170,45053,15700,9840,10907,8673,21853,6550,2233,348
VINA,02,201,02_201,19,0,106,0,3129,1030,156,6,78,43375,12689,7206,12187,18364,20265,774,1088,80
VINA,02,201,02_201,20,0,3459,0,2610,786,77,1,25,36773,8115,5269,8578,28095,15695,1351,1009,119
PINE GROVE,02,008,02_008,21,0,587,0,3652,774,49,5,345,31075,30651,13420,4952,9346,17800,9192,6387,527
PINE GROVE,02,008,02_008,22,0,4424,0,6497,5865,1406,552,175,15873,25679,12691,2585,4837,20525,22598,987,349
PINE GROVE,02,008,02_008,23,0,45407,0,7076,7310,1697,629,802,11962,9200,8014,878,942,16991,13202,904,403
PINE GROVE,02,008,02_008,24,0,39417,0,5370,2544,405,86,994,26187,12103,8378,2646,2754,18560,3896,1056,276
PINE GROVE,02,008,02_008,25,0,5353,0,4474,984,87,8,232,36645,21344,11438,4835,5633,23799,1762,427,106
BROOKSVILLE,02,105,02_105,26,0,629,0,5623,924,135,58,81,56897,6529,6974,4666,1663,37495,117,207,138
BROOKSVILLE,02,105,02_105,27,0,957,0,5893,2092,409,143,105,40423,7377,9098,4252,2513,44257,430,323,279
BROOKSVILLE,02,105,02_105,28,0,1163,0,5275,1488,408,125,92,28500,9468,10575,2714,2384,54364,332,622,439
BROOKSVILLE,02,105,02_105,29,0,1069,0,5649,1318,341,39,205,33878,7059,10037,2922,1949,65390,720,444,309
BROOKSVILLE,02,105,02_105,30,0,550,0,5045,1580,426,121,534,41535,4542,9311,3256,839,58172,2001,192,43
CHOCCOLOCCO,02,111,02_111,31,0,445,0,10528,3763,548,194,297,52117,14682,7257,513,1899,24756,2614,831,50
CHOCCOLOCCO,02,111,02_111,32,0,308,0,6427,727,99,5,176,51390,23414,7030,703,1744,21877,2229,829,41
CHOCCOLOCCO,02,111,02_111,33,0,1582,0,3720,298,106,17,90,54891,24652,7931,1912,2080,20636,3849,670,41
CHOCCOLOCCO,02,111,02_111,34,0,1473,0,3590,247,94,15,80,55579,16415,10349,2624,996,22712,4305,141,25
CHOCCOLOCCO,02,111,02_111,35,0,119,0,3507,289,22,1,51,60798,13058,13546,3077,1410,22296,768,76,30
MAYTOWN,02,017,02_017,36,0,279,0,8659,3246,334,71,253,40145,29858,13435,10900,11154,2967,11,261,1
MAYTOWN,02,017,02_017,37,0,2875,0,5379,423,135,16,1153,37120,32725,13882,9130,10829,1790,3,750,14
MAYTOWN,02,017,02_017,38,0,4951,0,6272,431,178,44,1018,39891,30442,15920,11377,9431,1876,3,1720,48
MAYTOWN,02,017,02_017,39,0,5103,0,4751,315,273,104,1895,39867,28408,17260,12856,10039,1815,2,1707,70
MAYTOWN,02,017,02_017,40,0,4918,0,6556,1134,618,171,3019,36145,30716,22643,3337,9417,3266,113,1093,72
LIBERTY,02,019,02_019,41,0,288,0,3972,252,16,0,6,26476,21736,36320,11156,3581,7292,38,16333,1663
LIBERTY,02,019,02_019,42,0,366,0,4689,1017,126,18,9,24631,16556,27458,8686,2996,7132,3,23734,2625
LIBERTY,02,019,02_019,43,0,500,0,5653,1070,150,25,39,25066,16972,28842,7366,1691,13631,6,23360,1997
LIBERTY,02,019,02_019,44,0,243,0,5703,293,16,0,31,32407,18126,33942,7553,2820,13568,3,10066,449
LIBERTY,02,019,02_019,45,0,247,0,5949,387,18,0,30,39557,15047,31733,7803,5379,9762,18,11386,524
HOLT,02,060,02_060,46,0,8853,0,5970,1050,51,1,51,32298,22660,23732,5551,7360,9882,6,2588,86
