"Latitude","Longitude","U_S_R_I"
29.9468226,-84.340943,"25_062"
28.6471072,-82.1719367,"25_066"
27.7611546,-81.4536353,"25_073"
26.5587549,-81.126711,"25_081"
30.3242578,-85.0052085,"25_108"
29.4553574,-82.119094,"25_113"
25.1388716,-80.9335333,"25_135"
27.8610752,-80.4489977,"25_175"
30.2634445,-84.6552242,"25_901"
26.3353906,-80.5399018,"25_912"
26.9941297,-80.5737674,"25_919"
29.6796829,-85.215292,"25_921"
30.8733817,-81.5755079,"27_001"
31.7456477,-84.7198949,"27_010"
32.7366314,-82.7652865,"27_013"
31.2906127,-84.4058069,"27_021"
34.0545254,-84.7868559,"27_027"
33.5197045,-83.0957341,"27_031"
33.4876538,-82.1997128,"27_032"
32.1823297,-84.2682799,"27_033"
33.5381995,-85.2533567,"27_036"
34.7642707,-84.0687099,"27_040"
34.9172777,-83.4074789,"27_041"
33.1053145,-83.8122125,"27_046"
33.0291229,-82.8309704,"27_048"
32.1747043,-82.9529801,"27_050"
32.88997,-82.3672037,"27_051"
30.6653217,-83.80112,"27_057"
48.5817917,-116.3974909,"33_001"
47.2505272,-115.8109268,"33_003"
45.0341095,-113.5624829,"33_010"
44.4572034,-115.0979702,"33_012"
44.722359,-113.5203605,"33_014"
43.455341,-116.0962005,"33_017"
43.4619319,-113.5630006,"33_020"
43.5343116,-111.7010272,"33_022"
42.3311564,-114.2794532,"33_025"
42.8548166,-112.519388,"33_027"
48.4797897,-116.8492509,"33_029"
44.4138961,-116.0315611,"33_111"
42.953922,-115.2124573,"33_124"
42.9613154,-111.7185508,"33_128"
45.3420792,-115.9475939,"33_208"
44.1957002,-116.5087254,"33_211"
44.9600847,-115.4933479,"33_212"
44.2330004,-113.3704824,"33_214"
43.4135132,-115.3610245,"33_218"
43.4007821,-114.252264,"33_219"
43.3387265,-113.8743621,"33_220"
43.8124267,-112.3960119,"33_221"
43.8248162,-111.2006106,"33_222"
42.431685,-114.0888322,"33_225"
43.521597,-112.65036,"33_901"
43.743192,-112.8423869,"33_903"
43.5602019,-112.8721588,"33_904"
42.1593177,-89.3321502,"34_002"
42.0711057,-89.0756312,"34_003"
41.1849333,-89.4568609,"34_009"
41.3356226,-89.7085965,"34_011"
41.6502254,-89.0175725,"34_012"
41.0834818,-88.8325718,"34_013"
41.9335847,-88.1879809,"34_014"
41.1663407,-88.1852819,"34_015"
41.530722,-88.5743214,"34_016"
41.2187664,-87.5816027,"34_017"
41.4686591,-87.964599,"34_018"
40.2137205,-91.1829978,"34_020"
40.6514497,-90.9814019,"34_022"
40.9170762,-90.0331516,"34_023"
40.8602881,-90.5087794,"34_024"
40.9305488,-89.7938841,"34_026"
40.6045464,-89.3175167,"34_027"
40.9275498,-88.95069,"34_029"
40.0787817,-88.5584799,"34_030"
40.7143846,-88.5637682,"34_031"
40.8985328,-88.6754284,"34_032"
39.9897988,-90.3451209,"34_036"
39.4187241,-90.1660041,"34_037"
39.799577,-90.4109104,"34_038"
39.5753678,-89.5158088,"34_040"
39.4800841,-89.2690071,"34_041"
39.3998674,-89.2049844,"34_042"
39.3149204,-88.195176,"34_046"
39.6153298,-88.3865649,"34_047"
38.3851828,-90.2587326,"34_049"
38.5256201,-89.8193422,"34_050"
38.6981367,-89.5364836,"34_051"
38.6699717,-89.6602444,"34_052"
38.3511978,-89.2943026,"34_053"
38.6772904,-88.4287356,"34_057"
37.2325914,-89.2352685,"34_059"
37.9708433,-89.7475091,"34_060"
37.3198861,-88.9437782,"34_061"
37.5997248,-88.5063589,"34_062"
37.0730417,-88.5193033,"34_063"
42.1401616,-89.7648861,"34_065"
42.3994754,-88.9154674,"34_066"
41.3410603,-90.5307719,"34_067"
41.4844552,-89.0833869,"34_068"
41.311436,-88.5903464,"34_069"
40.0572405,-91.1273048,"34_070"
40.3045239,-90.1357207,"34_071"
40.0839936,-89.8249757,"34_072"
39.2888385,-90.550608,"34_074"
39.3988002,-89.8313118,"34_075"
38.320123,-89.7037028,"34_078"
38.0393916,-88.2081104,"34_079"
37.2026548,-89.274296,"34_080"
41.0254887,-86.2808379,"35_005"
41.7259077,-85.6760109,"35_006"
41.6024567,-84.9394079,"35_009"
40.6790779,-87.3633993,"35_010"
40.4076491,-87.0361216,"35_011"
40.7078507,-86.8139639,"35_012"
40.5842651,-86.1842198,"35_013"
40.1495187,-86.6959256,"35_014"
40.0330447,-85.5449749,"35_016"
39.3319867,-87.3743359,"35_021"
39.5330205,-87.1438756,"35_022"
39.0791429,-86.3429849,"35_023"
38.7744667,-86.7647789,"35_035"
38.6631267,-85.9410399,"35_038"
38.2672943,-86.1463592,"35_039"
38.7795826,-85.0940693,"35_040"
38.6347156,-85.7471699,"35_041"
41.6368887,-86.3655159,"35_103"
40.7698922,-91.6797963,"36_001"
40.6527332,-92.8864804,"36_002"
40.8887105,-93.1717427,"36_003"
40.5712567,-94.6426839,"36_004"
41.9751747,-90.2964159,"36_006"
41.5687389,-91.2703838,"36_007"
41.6586017,-94.1444549,"36_013"
41.7176327,-94.0861889,"36_014"
41.4483667,-95.7265309,"36_015"
41.1311292,-95.3466186,"36_016"
42.9663334,-93.8524963,"36_022"
42.041859,-94.571273,"36_024"
42.4902437,-96.3743819,"36_028"
43.2388517,-94.0095139,"36_032"
43.0405217,-95.5844739,"36_033"
43.2574697,-96.2756889,"36_034"
42.1663807,-93.3469609,"36_123"
37.0321381,-94.9950424,"38_001"
37.8493327,-95.5008159,"38_003"
37.9847547,-96.3936159,"38_004"
37.3190352,-97.349158,"38_006"
37.2322087,-97.2582029,"38_007"
37.9271847,-98.8303289,"38_008"
37.1645227,-99.2722929,"38_010"
37.1334087,-99.7413179,"38_011"
37.9589257,-101.4316489,"38_012"
38.9939527,-96.9002609,"38_016"
38.3623234,-96.5605733,"38_017"
38.4636553,-98.9776363,"38_020"
38.5515107,-98.0351929,"38_021"
39.5831024,-100.3295925,"38_025"
39.0805438,-95.5671042,"38_026"
39.251508,-95.5347369,"38_027"
39.9000807,-96.8711409,"38_028"
39.7690906,-96.0269519,"38_029"
39.9367553,-97.0124144,"38_030"
37.3143937,-100.4350879,"38_037"
37.3003447,-96.1012279,"38_105"
38.9147327,-97.3687519,"38_118"
36.6082857,-83.7017979,"39_001"
36.9068375,-88.8622638,"39_002"
36.6896267,-88.1808759,"39_003"
36.664255,-87.0088713,"39_005"
36.9907469,-86.6314152,"39_006"
36.8194377,-85.7169959,"39_008"
36.7007807,-85.2699359,"39_009"
36.8211687,-84.8339909,"39_011"
37.390468,-84.6612332,"39_021"
37.9849668,-84.8137054,"39_023"
37.4126457,-85.1284099,"39_025"
37.8199855,-86.8961593,"39_029"
37.7163597,-87.6947489,"39_035"
37.3299427,-88.3261579,"39_036"
38.4344957,-84.1633637,"39_040"
38.2051493,-83.9295763,"39_044"
38.2698117,-85.2042619,"39_137"
30.8801251,-90.2491541,"42_010"
30.8315727,-93.3184289,"42_016"
31.1887275,-91.6715765,"42_017"
31.9792958,-91.4440435,"42_018"
32.4602687,-92.6215889,"42_026"
30.3986037,-91.5101169,"42_033"
32.4856776,-91.4269719,"42_038"
29.6924898,-89.9669461,"42_101"
29.7559597,-90.5588309,"42_104"
31.0660928,-93.4958419,"42_122"
30.4128796,-91.1957095,"42_903"
43.4994247,-70.5150099,"44_003"
44.9258167,-70.9579919,"44_006"
44.6261727,-70.9614079,"44_007"
44.3340297,-70.2908259,"44_013"
44.9876199,-69.4360208,"44_019"
45.0776834,-70.2128823,"44_032"
45.6133217,-68.5330449,"44_041"
46.5514025,-68.7805811,"44_056"
39.5041468,-79.1557785,"46_001"
39.4387843,-79.1698659,"46_003"
39.5429312,-78.6014791,"46_004"
39.6129717,-77.8655019,"46_006"
39.5780009,-77.5489971,"46_008"
39.7148359,-77.3304347,"46_009"
39.1514457,-77.0930269,"46_011"
39.516536,-77.0384304,"46_013"
39.6423121,-77.0236228,"46_014"
39.6359624,-76.9692792,"46_015"
39.5515705,-76.8137896,"46_016"
38.6021387,-77.0780349,"46_030"
38.5960742,-77.0558732,"46_031"
39.628083,-76.00685,"46_032"
39.52083,-75.94228,"46_033"
39.276509,-75.7640082,"46_035"
39.2640947,-76.1481269,"46_036"
39.10312,-76.192383,"46_037"
38.783977,-75.8845056,"46_038"
38.8211117,-75.9331139,"46_039"
38.7863193,-76.075195,"46_040"
38.4607494,-76.1997997,"46_041"
38.3676908,-76.2432656,"46_042"
38.5258637,-76.2101023,"46_043"
38.5203297,-75.7964256,"46_044"
38.1651924,-75.5797027,"46_047"
38.2256736,-75.2663372,"46_048"
39.6733819,-79.1632229,"46_051"
39.3377737,-79.3101889,"46_052"
39.7216828,-78.9262269,"46_053"
39.6399863,-78.4762746,"46_054"
39.6919359,-78.4102428,"46_055"
39.5399409,-79.1662387,"46_102"
39.0308897,-77.0169099,"46_110"
38.9888945,-76.6695275,"46_123"
41.750876,-70.1656255,"47_001"
41.9386087,-71.0799209,"47_005"
42.5199697,-71.5305739,"47_009"
42.0067334,-71.118451,"47_011"
42.6138086,-72.2798896,"47_017"
42.3761743,-72.8474923,"47_019"
