RTENAME,StateNm,RouteID,U_S_R_I,id,t00m_mean,t00j_mean,t01m_mean,t01j_mean,t15m_mean,t15j_mean,t16m_mean,t16j_mean
MAYTOWN,02,017,02_017,40,22.684999999999900,24.830000000000000,20.892499999999900,23.782499999999900,21.710000000000000,25.882500000000000,20.872500000000000,26.477500000000000
LIBERTY,02,019,02_019,41,23.013333333333300,25.053333333333300,21.129999999999900,24.230000000000000,21.756666666666600,25.956666666666600,21.190000000000000,27.026666666666600
LIBERTY,02,019,02_019,42,23.147500000000000,25.132500000000000,21.274999999999900,24.300000000000000,21.765000000000000,26.020000000000000,21.242500000000000,27.027500000000000
LIBERTY,02,019,02_019,43,23.083333333333300,25.063333333333300,21.209999999999900,24.223333333333300,21.680000000000000,25.983333333333300,21.189999999999900,26.826666666666600
LIBERTY,02,019,02_019,44,22.789999999999900,24.717500000000000,20.852499999999900,23.820000000000000,21.432500000000000,25.807500000000000,21.022500000000000,26.457500000000000
LIBERTY,02,019,02_019,45,22.755000000000000,24.695000000000000,20.805000000000000,23.780000000000000,21.424999999999900,25.785000000000000,20.864999999999900,26.445000000000000
HOLT,02,060,02_060,46,23.045000000000000,25.125000000000000,21.280000000000000,24.414999999999900,21.940000000000000,26.274999999999900,21.024999999999900,26.515000000000000
HOLT,02,060,02_060,47,22.725000000000000,24.789999999999900,21.045000000000000,24.160000000000000,21.795000000000000,26.155000000000000,20.770000000000000,26.380000000000000
HOLT,02,060,02_060,48,22.770000000000000,24.715000000000000,21.160000000000000,24.270000000000000,21.910000000000000,26.204999999999900,20.734999999999900,26.414999999999900
HOLT,02,060,02_060,49,22.965000000000000,25.065000000000000,21.250000000000000,24.445000000000000,21.960000000000000,26.305000000000000,20.945000000000000,26.484999999999900
HOLT,02,060,02_060,50,23.314999999999900,25.365000000000000,21.545000000000000,24.649999999999900,22.160000000000000,26.410000000000000,21.199999999999900,26.564999999999900
SMYER LAKE,02,014,02_014,51,23.270000000000000,25.070000000000000,21.285000000000000,24.305000000000000,22.204999999999900,26.270000000000000,21.369999999999900,26.574999999999900
